,title,cast,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,director,Action,Adventure,Animation,Fantasy,Science Fiction,Romance,TV Movie,Crime,Thriller,Horror,Drama,Comedy,Foreign,Family,Mystery,War,History,Documentary,Music,Western,Steven Spielberg,Clint Eastwood,Ridley Scott,Robert Rodriguez,Martin Scorsese,Renny Harlin,Steven Soderbergh,Tim Burton,Oliver Stone,Robert Zemeckis,Brian De Palma,Woody Allen,Michael Bay,Joel Schumacher,Tony Scott,Bobby Farrelly,Ron Howard,Kevin Smith,Paul W.S. Anderson,David Fincher,Richard Donner,Rob Reiner,Shawn Levy,Richard Linklater,Wes Craven,Francis Ford Coppola,John Carpenter,Spike Lee,Barry Levinson,Chris Columbus,Peter Jackson,Joel Coen,M. Night Shyamalan,Rob Cohen,Adam Shankman,Quentin Tarantino,Christopher Nolan,Antoine Fuqua,Danny Boyle,Dennis Dugan,Bryan Singer,Roland Emmerich,John McTiernan,Alfred Hitchcock,Sam Raimi,F. Gary Gray,Stephen Frears,Todd Phillips,John Singleton,Phillip Noyce,Doug Liman,Zack Snyder,Lasse Hallström,James Cameron,Tom Shadyac,Harold Ramis,Martin Campbell,Jay Roach,Simon West,Sam Mendes,George Miller,Edward Zwick,Marc Forster,Ang Lee,Gore Verbinski,Wolfgang Petersen,Wes Anderson,Brett Ratner,Barry Sonnenfeld,Guy Ritchie,Garry Marshall,Paramount Pictures,Universal Pictures,Columbia Pictures,Twentieth Century Fox Film Corporation,New Line Cinema,Walt Disney Pictures,Village Roadshow Pictures,United Artists,Miramax Films,Columbia Pictures Corporation,Warner Bros.,DreamWorks SKG
0,Avatar,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",237000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,150.437577,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment']","['United States of America', 'United Kingdom']",2009-12-10,2787965087.0,162.0,"['English', 'Español']",7.2,11800.0,James Cameron,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Pirates of the Caribbean: At World's End,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",300000000.0,"['Adventure', 'Fantasy', 'Action']",en,139.082615,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['United States of America'],2007-05-19,961000000.0,169.0,['English'],6.9,4500.0,Gore Verbinski,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,Spectre,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",245000000.0,"['Action', 'Adventure', 'Crime']",en,107.376788,"['Columbia Pictures', 'Danjaq', 'B24']","['United Kingdom', 'United States of America']",2015-10-26,880674609.0,148.0,"['Français', 'English', 'Español', 'Italiano', 'Deutsch']",6.3,4466.0,Sam Mendes,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,The Dark Knight Rises,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",250000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",en,112.31295,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment']",['United States of America'],2012-07-16,1084939099.0,165.0,['English'],7.6,9106.0,Christopher Nolan,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,John Carter,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",260000000.0,"['Action', 'Adventure', 'Science Fiction']",en,43.926995,['Walt Disney Pictures'],['United States of America'],2012-03-07,284139100.0,132.0,['English'],6.1,2124.0,Andrew Stanton,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Spider-Man 3,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",258000000.0,"['Fantasy', 'Action', 'Adventure']",en,115.699814,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],2007-05-01,890871626.0,139.0,"['English', 'Français']",5.9,3576.0,Sam Raimi,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Tangled,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",260000000.0,"['Animation', 'Family']",en,48.681969,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],2010-11-24,591794936.0,100.0,['English'],7.4,3330.0,Byron Howard,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,Avengers: Age of Ultron,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",280000000.0,"['Action', 'Adventure', 'Science Fiction']",en,134.27922900000002,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['United States of America'],2015-04-22,1405403694.0,141.0,['English'],7.3,6767.0,Joss Whedon,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Harry Potter and the Half-Blood Prince,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",250000000.0,"['Adventure', 'Fantasy', 'Family']",en,98.885637,"['Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']",2009-07-07,933959197.0,153.0,['English'],7.4,5293.0,David Yates,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Batman v Superman: Dawn of Justice,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",250000000.0,"['Action', 'Adventure', 'Fantasy']",en,155.790452,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.']",['United States of America'],2016-03-23,873260194.0,151.0,['English'],5.7,7004.0,Zack Snyder,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
